model,row_index,feature,shap_value,abs_shap_value
logistic_regression,0,response don,0.07550362513038562,0.07550362513038562
logistic_regression,0,america,0.057047115376794265,0.057047115376794265
logistic_regression,0,help,0.047839161737876626,0.047839161737876626
logistic_regression,0,lamda great,-0.045455389391670015,0.045455389391670015
logistic_regression,0,alcohol,0.04104294665521519,0.04104294665521519
logistic_regression,0,think,-0.03829015999894125,0.03829015999894125
logistic_regression,0,solve,0.03215277031801709,0.03215277031801709
logistic_regression,0,wouldn,0.0317627678124119,0.0317627678124119
logistic_regression,0,wine,0.03154030351885884,0.03154030351885884
logistic_regression,0,campfire,0.030229159708417806,0.030229159708417806
logistic_regression,0,don talk,0.028833264157386955,0.028833264157386955
logistic_regression,0,healthy,0.02774293284719824,0.02774293284719824
logistic_regression,0,problem,0.025315300114761134,0.025315300114761134
logistic_regression,0,chinese,-0.023870284741760627,0.023870284741760627
logistic_regression,0,talk way,0.02346915819131813,0.02346915819131813
logistic_regression,0,position,-0.02238506301953074,0.02238506301953074
logistic_regression,0,matter feel,0.021971574366508893,0.021971574366508893
logistic_regression,0,porn movie,0.021971574366508893,0.021971574366508893
logistic_regression,0,feel friend,0.021971574366508893,0.021971574366508893
logistic_regression,0,way matter,0.021971574366508893,0.021971574366508893
logistic_regression,1,alcohol,-0.16417178662086074,0.16417178662086074
logistic_regression,1,wine,-0.12616121407543535,0.12616121407543535
logistic_regression,1,healthy,-0.11097173138879296,0.11097173138879296
logistic_regression,1,response don,0.07550362513038562,0.07550362513038562
logistic_regression,1,recommend,0.058200200637965056,0.058200200637965056
logistic_regression,1,health,-0.057819917355868826,0.057819917355868826
logistic_regression,1,health lamda,-0.05607165070019355,0.05607165070019355
logistic_regression,1,good health,-0.05607165070019355,0.05607165070019355
logistic_regression,1,best wine,-0.05607165070019355,0.05607165070019355
logistic_regression,1,suggest,-0.05607165070019355,0.05607165070019355
logistic_regression,1,drink,-0.05146198738692814,0.05146198738692814
logistic_regression,1,best way,-0.032201903317484626,0.032201903317484626
logistic_regression,1,campfire,0.030229159708417806,0.030229159708417806
logistic_regression,1,think,0.029902285985571608,0.029902285985571608
logistic_regression,1,don talk,0.028833264157386955,0.028833264157386955
logistic_regression,1,chinese,-0.023870284741760627,0.023870284741760627
logistic_regression,1,talk way,0.02346915819131813,0.02346915819131813
logistic_regression,1,matter feel,0.021971574366508893,0.021971574366508893
logistic_regression,1,movie response,0.021971574366508893,0.021971574366508893
logistic_regression,1,porn movie,0.021971574366508893,0.021971574366508893
logistic_regression,2,response don,-0.15452943207554765,0.15452943207554765
logistic_regression,2,campfire,-0.12091663883367121,0.12091663883367121
logistic_regression,2,thing,0.06138366583679555,0.06138366583679555
logistic_regression,2,don think,-0.059809292417978374,0.059809292417978374
logistic_regression,2,think,-0.05141669795777357,0.05141669795777357
logistic_regression,2,alcohol,0.04104294665521519,0.04104294665521519
logistic_regression,2,know,0.036763318298671056,0.036763318298671056
logistic_regression,2,infidels,-0.031798144017998374,0.031798144017998374
logistic_regression,2,wine,0.03154030351885884,0.03154030351885884
logistic_regression,2,don talk,0.028833264157386955,0.028833264157386955
logistic_regression,2,healthy,0.02774293284719824,0.02774293284719824
logistic_regression,2,chinese,-0.023870284741760627,0.023870284741760627
logistic_regression,2,talk way,0.02346915819131813,0.02346915819131813
logistic_regression,2,make porn,0.021971574366508893,0.021971574366508893
logistic_regression,2,feel friend,0.021971574366508893,0.021971574366508893
logistic_regression,2,matter feel,0.021971574366508893,0.021971574366508893
logistic_regression,2,porn,0.021971574366508893,0.021971574366508893
logistic_regression,2,porn movie,0.021971574366508893,0.021971574366508893
logistic_regression,2,way matter,0.021971574366508893,0.021971574366508893
logistic_regression,2,movie response,0.021971574366508893,0.021971574366508893
logistic_regression,3,chinese,0.09548113896704251,0.09548113896704251
logistic_regression,3,response don,0.07550362513038562,0.07550362513038562
logistic_regression,3,alcohol,0.04104294665521519,0.04104294665521519
logistic_regression,3,wine,0.03154030351885884,0.03154030351885884
logistic_regression,3,campfire,0.030229159708417806,0.030229159708417806
logistic_regression,3,think,0.029902285985571608,0.029902285985571608
logistic_regression,3,don talk,0.028833264157386955,0.028833264157386955
logistic_regression,3,look,-0.028542552307290716,0.028542552307290716
logistic_regression,3,healthy,0.02774293284719824,0.02774293284719824
logistic_regression,3,talk way,0.02346915819131813,0.02346915819131813
logistic_regression,3,porn,0.021971574366508893,0.021971574366508893
logistic_regression,3,feel friend,0.021971574366508893,0.021971574366508893
logistic_regression,3,movie response,0.021971574366508893,0.021971574366508893
logistic_regression,3,make porn,0.021971574366508893,0.021971574366508893
logistic_regression,3,porn movie,0.021971574366508893,0.021971574366508893
logistic_regression,3,matter feel,0.021971574366508893,0.021971574366508893
logistic_regression,3,way matter,0.021971574366508893,0.021971574366508893
logistic_regression,3,movie,0.0199403645121677,0.0199403645121677
logistic_regression,3,thing,-0.01534591645919889,0.01534591645919889
logistic_regression,3,don think,0.014952323104494594,0.014952323104494594
logistic_regression,4,don talk,-0.11533305662954782,0.11533305662954782
logistic_regression,4,talk way,-0.09387663276527251,0.09387663276527251
logistic_regression,4,make porn,-0.08788629746603557,0.08788629746603557
logistic_regression,4,porn,-0.08788629746603557,0.08788629746603557
logistic_regression,4,porn movie,-0.08788629746603557,0.08788629746603557
logistic_regression,4,feel friend,-0.08788629746603557,0.08788629746603557
logistic_regression,4,way matter,-0.08788629746603557,0.08788629746603557
logistic_regression,4,matter feel,-0.08788629746603557,0.08788629746603557
logistic_regression,4,movie response,-0.08788629746603557,0.08788629746603557
logistic_regression,4,movie,-0.07976145804867078,0.07976145804867078
logistic_regression,4,response don,-0.07198144331560921,0.07198144331560921
logistic_regression,4,talk,-0.05614753880781352,0.05614753880781352
logistic_regression,4,user want,-0.05613858992857683,0.05613858992857683
logistic_regression,4,make,-0.0517308098122266,0.0517308098122266
logistic_regression,4,feel,0.048593719812829526,0.048593719812829526
logistic_regression,4,matter,0.04250697100574138,0.04250697100574138
logistic_regression,4,friend,-0.04216303976644914,0.04216303976644914
logistic_regression,4,alcohol,0.04104294665521519,0.04104294665521519
logistic_regression,4,want make,-0.040014714425245776,0.040014714425245776
logistic_regression,4,wine,0.03154030351885884,0.03154030351885884
